Calendar Week,Expert Partner,Expert Location,OIT Node 1 (Contact Drivers),OIT Node 2 (Contact Drivers),OIT Node 3 (Contact Drivers),Handled Contacts,AHT,Transfers (%),tNPS,Survey Resp. Rate (tNPS),TNPS Survey Resp. Count,Issue Resolution (tNPS),New MCR 7-Day (Look-forward),Cases,Cases (excl. Internal),# of Experts
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Business reports,Transaction reports,1.,2.4,.0%,-,-,.,-,-,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Expense accounting,-,1.,26.7,.0%,-,-,.,-,-,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Experts and advice,Accountant features,1.,8.9,.0%,-,.0%,.,-,100.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,Experts and advice,-,1.,8.9,.0%,-,.0%,.,-,100.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Accounting and bookkeeping,-,-,20.,24.3,15.0%,100.0,25.0%,2.,100.0%,30.8%,22.,12.,19.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank accounts,Set up money movement,1.,20.3,.0%,-,.0%,.,-,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank accounts,-,1.,3.3,100.0%,-,-,.,-,100.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank connectivity,Bank feeds,4.,19.9,25.0%,-,.0%,.,-,.0%,4.,3.,5.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank connectivity,Direct feeds,4.,29.0,.0%,100.0,33.3%,1.,100.0%,25.0%,4.,3.,4.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank connectivity,-,8.,24.4,12.5%,100.0,25.0%,1.,100.0%,16.7%,8.,6.,9.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank deposits,Direct deposits,22.,40.4,18.2%,50.0,20.0%,2.,100.0%,10.5%,25.,16.,16.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank deposits,-,28.,37.4,14.3%,50.0,15.4%,2.,100.0%,16.0%,31.,19.,21.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank transactions,Memorise transactions,1.,2.6,.0%,-,.0%,.,-,-,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Banking,Bank transactions,-,25.,22.3,24.0%,100.0,22.2%,2.,100.0%,16.7%,22.,16.,24.
7/28/2024,CONCENTRIX,Mexico City,Banking,-,-,59.,28.8,18.6%,80.0,18.5%,5.,100.0%,17.0%,59.,41.,41.
7/28/2024,CONCENTRIX,Mexico City,Business management,Small business processes,-,98.,22.3,35.7%,66.7,9.4%,3.,66.7%,18.2%,89.,63.,51.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Back up data,54.,31.0,14.8%,44.4,25.7%,9.,71.4%,14.6%,54.,47.,39.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Damaged data,5.,9.4,40.0%,-,-,.,-,25.0%,4.,3.,6.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Data utilities,2.,25.1,.0%,-,.0%,.,-,.0%,2.,2.,4.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Migrate data,36.,23.4,38.9%,-,.0%,.,-,10.0%,29.,20.,25.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Data management,Sync data,2.,3.9,.0%,-,-,.,-,-,.,.,2.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Electronic filing,-,4.,34.7,.0%,-,.0%,.,-,.0%,4.,3.,4.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,Accountant copy,3.,15.9,.0%,100.0,33.3%,1.,100.0%,33.3%,4.,4.,4.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,Company file,3.,15.9,.0%,100.0,33.3%,1.,100.0%,33.3%,4.,4.,4.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,Convert files,10.,21.4,20.0%,-,.0%,.,-,.0%,9.,6.,8.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,Import or export files,3.,28.3,.0%,-,.0%,.,-,.0%,3.,2.,3.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,Open programs,41.,43.5,9.8%,66.7,11.5%,3.,33.3%,14.6%,44.,34.,35.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,Set up files,27.,35.1,3.7%,66.7,15.8%,3.,100.0%,8.7%,28.,27.,23.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,File management,-,73.,40.6,8.2%,37.5,16.3%,8.,71.4%,11.9%,78.,66.,48.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Report management,Customise reports,1.,14.7,.0%,-,.0%,.,-,-,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Report management,Memorise reports,1.,2.6,.0%,-,.0%,.,-,-,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Report management,-,25.,26.9,16.0%,100.0,20.0%,2.,100.0%,13.3%,25.,13.,25.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,Web integration,Manage integrations,3.,6.3,33.3%,-,-,.,-,-,.,.,4.
7/28/2024,CONCENTRIX,Mexico City,Data and systems,-,-,165.,31.3,17.6%,53.3,17.2%,15.,69.2%,13.7%,161.,124.,65.
7/28/2024,CONCENTRIX,Mexico City,Employee management,Time tracking,Track worker hours,2.,9.6,.0%,-,.0%,.,-,.0%,2.,1.,2.
7/28/2024,CONCENTRIX,Mexico City,Employee management,Time tracking,-,4.,15.1,50.0%,-,.0%,.,-,33.3%,3.,2.,4.
7/28/2024,CONCENTRIX,Mexico City,Employee management,Worker benefits,Insurance and medical benefits,1.,46.1,.0%,-,.0%,.,-,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Employee management,Worker benefits,-,1.,46.1,.0%,-,.0%,.,-,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Employee management,Workers compensation,-,1.,105.3,.0%,-,.0%,.,-,.0%,2.,2.,1.
7/28/2024,CONCENTRIX,Mexico City,Employee management,-,-,14.,17.0,14.3%,-,.0%,.,-,25.0%,9.,5.,13.
7/28/2024,CONCENTRIX,Mexico City,Finance,Currency,Multicurrency,1.,33.0,.0%,100.0,100.0%,1.,100.0%,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Finance,Currency,-,1.,33.0,.0%,100.0,100.0%,1.,100.0%,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Finance,Income,Salaries and wages,2.,4.5,50.0%,-,-,.,-,.0%,1.,.,2.
7/28/2024,CONCENTRIX,Mexico City,Finance,Income,-,3.,9.9,33.3%,-,.0%,.,-,.0%,2.,1.,3.
7/28/2024,CONCENTRIX,Mexico City,Finance,-,-,4.,15.7,25.0%,100.0,50.0%,1.,100.0%,.0%,3.,2.,3.
7/28/2024,CONCENTRIX,Mexico City,Marketing,-,-,12.,10.1,33.3%,-,.0%,.,-,.0%,9.,6.,11.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll additions or deductions,Wage withholdings,12.,32.0,16.7%,100.0,37.5%,3.,100.0%,9.1%,12.,9.,9.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll additions or deductions,-,13.,29.8,15.4%,100.0,37.5%,3.,100.0%,9.1%,13.,10.,10.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,Annual employer forms,1.,1.9,.0%,-,-,.,-,-,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,Paycheque forms,6.,32.5,.0%,-,.0%,.,-,60.0%,5.,5.,5.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,Quarterly employer forms,36.,30.4,13.9%,50.0,26.7%,4.,75.0%,13.8%,34.,21.,25.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll forms,-,42.,30.7,11.9%,50.0,22.2%,4.,75.0%,20.6%,39.,26.,30.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll preferences,-,7.,32.5,14.3%,-,.0%,.,-,.0%,5.,4.,6.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Correct payroll,6.,33.5,.0%,-100.0,20.0%,1.,.0%,.0%,6.,6.,7.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Deliver paycheque,5.,43.6,.0%,.0,50.0%,2.,100.0%,.0%,6.,6.,7.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,Submit payroll,8.,42.5,.0%,100.0,20.0%,1.,-,.0%,8.,6.,6.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll processes,-,149.,36.8,8.7%,73.1,26.8%,26.,90.0%,10.6%,153.,125.,47.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll setup,Pay schedules,1.,16.4,.0%,-,-,.,-,100.0%,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Payroll setup,-,21.,33.9,14.3%,100.0,33.3%,4.,100.0%,11.8%,22.,15.,18.
7/28/2024,CONCENTRIX,Mexico City,Payroll,Prior payroll,-,1.,12.4,100.0%,-,-,.,-,.0%,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Payroll,-,-,245.,34.9,10.2%,66.7,23.4%,33.,88.0%,11.2%,241.,187.,51.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Custom templates,Customise forms,18.,22.5,22.2%,.0,10.0%,1.,100.0%,18.8%,17.,12.,17.
7/28/2024,CONCENTRIX,Mexico City,Product setup,List management,Customer list,5.,11.9,20.0%,-,.0%,.,-,50.0%,5.,2.,5.
7/28/2024,CONCENTRIX,Mexico City,Product setup,List management,-,1.,2.6,.0%,-,.0%,.,-,-,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Download products,16.,23.2,12.5%,-50.0,28.6%,2.,100.0%,.0%,16.,12.,18.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Install products,32.,28.7,18.8%,66.7,15.0%,3.,100.0%,15.0%,33.,25.,26.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,License information,32.,9.6,34.4%,25.0,36.4%,4.,75.0%,.0%,26.,18.,26.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Reinstall products,65.,26.8,15.4%,27.3,33.3%,11.,60.0%,12.8%,64.,47.,44.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,Update products,36.,46.3,13.9%,60.0,17.2%,5.,60.0%,16.1%,35.,32.,33.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product delivery,-,135.,30.0,20.7%,38.9,24.3%,18.,64.7%,12.2%,129.,98.,64.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product preferences,Display preferences,4.,19.5,.0%,-,-,.,-,.0%,4.,1.,10.
7/28/2024,CONCENTRIX,Mexico City,Product setup,Product preferences,-,4.,19.5,.0%,-,-,.,-,.0%,4.,1.,10.
7/28/2024,CONCENTRIX,Mexico City,Product setup,-,-,158.,28.7,20.3%,36.8,22.4%,19.,66.7%,12.8%,151.,112.,66.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Billing solutions,Pay bills,7.,27.0,28.6%,-,.0%,.,-,16.7%,7.,3.,8.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Billing solutions,Write cheques,4.,34.8,.0%,-,.0%,.,-,25.0%,4.,2.,5.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Billing solutions,-,8.,29.1,25.0%,-,.0%,.,-,14.3%,8.,4.,10.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Invoicing,Job estimates,2.,52.2,.0%,-,.0%,.,-,.0%,2.,1.,2.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Invoicing,-,3.,35.4,.0%,-,.0%,.,-,.0%,2.,1.,3.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Chargebacks,1.,11.8,100.0%,-,-,.,-,.0%,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Fund status,1.,83.1,.0%,-,-,.,-,.0%,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Reverse payments,1.,24.7,.0%,-,-,.,-,100.0%,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Set up payments,7.,17.3,85.7%,-,.0%,.,-,.0%,6.,3.,7.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,Trace payments,7.,21.6,.0%,-,.0%,.,-,28.6%,7.,5.,7.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Money movement,-,21.,21.2,52.4%,-,.0%,.,-,13.3%,17.,9.,21.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Payment processing,Customer refunds and credits,2.,23.4,100.0%,-,-,.,-,.0%,2.,1.,2.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Payment processing,Receive payments,2.,9.7,100.0%,-,-,.,-,-,.,.,2.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Payment processing,-,9.,12.9,88.9%,-,-,.,-,.0%,5.,3.,10.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Point of sale hardware,Card readers,1.,7.5,100.0%,-,-,.,-,-,.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Point of sale hardware,Payment terminal,1.,7.5,100.0%,-,-,.,-,-,.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Point of sale hardware,-,1.,7.5,100.0%,-,-,.,-,-,.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Sales receipts,-,1.,31.6,.0%,-,.0%,.,-,.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,Supplier management,-,9.,26.9,33.3%,-,.0%,.,-,14.3%,8.,4.,11.
7/28/2024,CONCENTRIX,Mexico City,Sales and logistics,-,-,26.,22.7,46.2%,-,.0%,.,-,11.1%,20.,11.,23.
7/28/2024,CONCENTRIX,Mexico City,Security and risk,Data privacy,-,14.,8.7,21.4%,100.0,25.0%,1.,100.0%,.0%,12.,9.,14.
7/28/2024,CONCENTRIX,Mexico City,Security and risk,Data security,-,40.,13.1,35.0%,.0,20.0%,2.,100.0%,9.5%,26.,15.,31.
7/28/2024,CONCENTRIX,Mexico City,Security and risk,Fraud,Manage risks,3.,41.3,.0%,-,.0%,.,-,.0%,3.,2.,3.
7/28/2024,CONCENTRIX,Mexico City,Security and risk,Fraud,-,5.,43.6,20.0%,-,.0%,.,-,.0%,4.,2.,4.
7/28/2024,CONCENTRIX,Mexico City,Security and risk,-,-,192.,26.8,18.2%,30.0,19.2%,20.,77.8%,17.9%,178.,138.,69.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Business taxes,-,11.,29.6,.0%,-,.0%,.,-,12.5%,12.,9.,10.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Sales taxes,Set up sales taxes,2.,12.2,50.0%,-,.0%,.,-,.0%,2.,2.,2.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Sales taxes,-,6.,28.5,16.7%,-,.0%,.,-,16.7%,6.,5.,5.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax compliance,-,6.,11.4,16.7%,-,.0%,.,-,50.0%,6.,3.,5.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax exemption,-,3.,25.1,.0%,-,-,.,-,-,4.,4.,3.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,Form W-2,5.,10.8,40.0%,-,.0%,.,-,.0%,3.,1.,4.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,State tax forms,12.,31.5,8.3%,.0,40.0%,2.,50.0%,20.0%,12.,7.,12.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax forms,-,17.,25.4,17.6%,.0,33.3%,2.,50.0%,16.7%,15.,8.,15.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,Federal taxes,1.,21.8,100.0%,-,-,.,-,-,1.,.,1.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,Local taxes,2.,16.3,.0%,-,.0%,.,-,.0%,2.,1.,2.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,State taxes,1.,32.8,.0%,-,-,.,-,-,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax jurisdiction,-,4.,21.8,25.0%,-,.0%,.,-,.0%,4.,2.,4.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax liabilities,-,13.,38.2,7.7%,100.0,16.7%,1.,100.0%,9.1%,13.,10.,11.
7/28/2024,CONCENTRIX,Mexico City,Taxation,Tax return,File tax return,1.,16.4,.0%,-,.0%,.,-,100.0%,1.,1.,1.
7/28/2024,CONCENTRIX,Mexico City,Taxation,-,-,50.,28.5,12.0%,33.3,15.0%,3.,66.7%,17.1%,50.,33.,29.
7/28/2024,CONCENTRIX,Mexico City,Uncategorized - Inbound Short calls,Uncategorized - Inbound Short calls,Uncategorized - Inbound Short calls,41.,1.5,2.4%,-,.0%,.,-,-,23.,14.,20.
7/28/2024,CONCENTRIX,Mexico City,Uncategorized - Not Handled,Uncategorized - Not Handled,Uncategorized - Not Handled,.,-,-,100.0,10.0%,1.,100.0%,-,22.,11.,36.
7/28/2024,CONCENTRIX,Mexico City,Uncategorized - Others,Uncategorized - Others,Uncategorized - Others,49.,14.3,14.3%,-100.0,13.3%,2.,.0%,-,39.,24.,34.
7/28/2024,CONCENTRIX,Mexico City,Uncategorized - Outbound Short calls,Uncategorized - Outbound Short calls,Uncategorized - Outbound Short calls,.,-,-,-,-,.,-,-,.,.,27.
7/28/2024,CONCENTRIX,Mexico City,-,-,-,.,-,-,33.3,11.1%,3.,100.0%,-,50.,44.,38.
8/4/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Login and password,181.,28.8,19.3%,60.0,21.3%,20.,88.9%,12.6%,166.,122.,72.
8/4/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Manage users,21.,19.0,23.8%,-,.0%,.,-,30.0%,20.,15.,19.
8/4/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Multi-user mode,45.,43.8,8.9%,100.0,12.9%,4.,100.0%,24.4%,49.,42.,37.
8/4/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,Primary administrator,121.,27.0,16.5%,77.8,16.1%,9.,75.0%,11.6%,121.,77.,55.
8/4/2024,CONCENTRIX,Mexico City,Account management,Access and permissions,-,337.,29.7,16.9%,68.8,18.4%,32.,89.7%,15.2%,324.,233.,78.
8/4/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business address,3.,24.1,33.3%,-,.0%,.,-,.0%,3.,2.,3.
8/4/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business name,24.,22.6,29.2%,66.7,20.0%,3.,66.7%,10.5%,24.,21.,22.
8/4/2024,CONCENTRIX,Mexico City,Account management,Business profile,Business phone number,18.,14.4,22.2%,100.0,42.9%,3.,100.0%,8.3%,16.,10.,18.
8/4/2024,CONCENTRIX,Mexico City,Account management,Business profile,Merchant category,3.,2.5,.0%,-,-,.,-,.0%,3.,2.,3.
8/4/2024,CONCENTRIX,Mexico City,Account management,Business profile,-,66.,20.8,28.8%,87.5,25.8%,8.,75.0%,15.2%,66.,50.,45.
8/4/2024,CONCENTRIX,Mexico City,Account management,Customer profile,Manage customers,134.,22.1,32.1%,45.5,20.8%,11.,100.0%,19.6%,123.,85.,54.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit account payment method,19.,9.5,10.5%,.0,10.0%,1.,100.0%,16.7%,18.,14.,19.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit billing issues,57.,20.9,38.6%,-50.0,20.0%,4.,100.0%,10.9%,52.,39.,36.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit billing updates,142.,23.5,14.8%,52.6,19.8%,19.,94.4%,12.0%,137.,114.,57.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit discounts,8.,12.0,37.5%,-,.0%,.,-,.0%,6.,4.,7.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit fees,225.,17.9,30.7%,26.9,24.1%,26.,85.7%,8.1%,211.,168.,71.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit invoices,7.,8.2,71.4%,-,.0%,.,-,.0%,6.,3.,7.
8/4/2024,CONCENTRIX,Mexico City,Account management,Intuit account billing,Intuit pricing,53.,13.0,30.2%,40.0,22.7%,5.,80.0%,9.1%,47.,38.,26.
